time,generation
2018/8/8 00:00,0.01
2018/8/8 01:00,0.01
2018/8/8 02:00,0.01
2018/8/8 03:00,0.01
2018/8/8 04:00,0.01
2018/8/8 05:00,0.01
2018/8/8 06:00,0.01
2018/8/8 07:00,0.08
2018/8/8 08:00,0.64
2018/8/8 09:00,1.51
2018/8/8 10:00,2.19
2018/8/8 11:00,3.74
2018/8/8 12:00,4.33
2018/8/8 13:00,4.23
2018/8/8 14:00,4.09
2018/8/8 15:00,3.78
2018/8/8 16:00,3.13
2018/8/8 17:00,2.07
2018/8/8 18:00,0.91
2018/8/8 19:00,0.12
2018/8/8 20:00,0.01
2018/8/8 21:00,0.01
2018/8/8 22:00,0.01
2018/8/8 23:00,0.01
2018/8/9 00:00,0.01
2018/8/9 01:00,0.01
2018/8/9 02:00,0.01
2018/8/9 03:00,0.01
2018/8/9 04:00,0.01
2018/8/9 05:00,0.01
2018/8/9 06:00,0.01
2018/8/9 07:00,0.08
2018/8/9 08:00,0.8
2018/8/9 09:00,1.24
2018/8/9 10:00,2.47
2018/8/9 11:00,3.42
2018/8/9 12:00,3.87
2018/8/9 13:00,3.85
2018/8/9 14:00,3.69
2018/8/9 15:00,3.65
2018/8/9 16:00,2.62
2018/8/9 17:00,1.34
2018/8/9 18:00,0.85
2018/8/9 19:00,0.25
2018/8/9 20:00,0.01
2018/8/9 21:00,0.01
2018/8/9 22:00,0.01
2018/8/9 23:00,0.01
2018/8/10 00:00,0.01
2018/8/10 01:00,0.01
2018/8/10 02:00,0.01
2018/8/10 03:00,0.01
2018/8/10 04:00,0.01
2018/8/10 05:00,0.01
2018/8/10 06:00,0.01
2018/8/10 07:00,0.21
2018/8/10 08:00,0.65
2018/8/10 09:00,1.25
2018/8/10 10:00,1.54
2018/8/10 11:00,1.49
2018/8/10 12:00,2.58
2018/8/10 13:00,3.32
2018/8/10 14:00,3.42
2018/8/10 15:00,3.39
2018/8/10 16:00,2.9
2018/8/10 17:00,1.81
2018/8/10 18:00,0.54
2018/8/10 19:00,0.09
2018/8/10 20:00,0.01
2018/8/10 21:00,0.01
2018/8/10 22:00,0.01
2018/8/10 23:00,0.01
2018/8/11 00:00,0.01
2018/8/11 01:00,0.01
2018/8/11 02:00,0.01
2018/8/11 03:00,0.01
2018/8/11 04:00,0.01
2018/8/11 05:00,0.01
2018/8/11 06:00,0.01
2018/8/11 07:00,0.1
2018/8/11 08:00,0.34
2018/8/11 09:00,0.59
2018/8/11 10:00,1.74
2018/8/11 11:00,3.02
2018/8/11 12:00,2.52
2018/8/11 13:00,3.82
2018/8/11 14:00,3.48
2018/8/11 15:00,1.76
2018/8/11 16:00,1.02
2018/8/11 17:00,0.14
2018/8/11 18:00,0.21
2018/8/11 19:00,0.09
2018/8/11 20:00,0.01
2018/8/11 21:00,0.01
2018/8/11 22:00,0.01
2018/8/11 23:00,0.01
2018/8/12 00:00,0.01
2018/8/12 01:00,0.01
2018/8/12 02:00,0.01
2018/8/12 03:00,0.01
2018/8/12 04:00,0.01
2018/8/12 05:00,0.01
2018/8/12 06:00,0.01
2018/8/12 07:00,0.05
2018/8/12 08:00,0.72
2018/8/12 09:00,1.42
2018/8/12 10:00,1.88
2018/8/12 11:00,2.22
2018/8/12 12:00,2.01
2018/8/12 13:00,2.1
2018/8/12 14:00,0.4
2018/8/12 15:00,0.61
2018/8/12 16:00,0.73
2018/8/12 17:00,1.24
2018/8/12 18:00,1.17
2018/8/12 19:00,0.16
2018/8/12 20:00,0.01
2018/8/12 21:00,0.01
2018/8/12 22:00,0.01
2018/8/12 23:00,0.01
2018/8/13 00:00,0.01
2018/8/13 01:00,0.01
2018/8/13 02:00,0.01
2018/8/13 03:00,0.01
2018/8/13 04:00,0.01
2018/8/13 05:00,0.01
2018/8/13 06:00,0.01
2018/8/13 07:00,0.16
2018/8/13 08:00,0.89
2018/8/13 09:00,1.09
2018/8/13 10:00,2.01
2018/8/13 11:00,2.94
2018/8/13 12:00,4.23
2018/8/13 13:00,4.2
2018/8/13 14:00,3.29
2018/8/13 15:00,2.63
2018/8/13 16:00,2.85
2018/8/13 17:00,1.24
2018/8/13 18:00,0.8
2018/8/13 19:00,0.13
2018/8/13 20:00,0.01
2018/8/13 21:00,0.01
2018/8/13 22:00,0.01
2018/8/13 23:00,0.01
2018/8/14 00:00,0.01
2018/8/14 01:00,0.01
2018/8/14 02:00,0.01
2018/8/14 03:00,0.01
2018/8/14 04:00,0.01
2018/8/14 05:00,0.01
2018/8/14 06:00,0.01
2018/8/14 07:00,0.11
2018/8/14 08:00,0.62
2018/8/14 09:00,1.62
2018/8/14 10:00,1.89
2018/8/14 11:00,2.66
2018/8/14 12:00,4.04
2018/8/14 13:00,3.61
2018/8/14 14:00,3.86
2018/8/14 15:00,3
2018/8/14 16:00,2.32
2018/8/14 17:00,1.27
2018/8/14 18:00,0.63
2018/8/14 19:00,0.17
2018/8/14 20:00,0.01
2018/8/14 21:00,0.01
2018/8/14 22:00,0.01
2018/8/14 23:00,0.01
